SampleLocationName,SampleValue,NameDeterminandName,BelowMinReading
Treatment Influent,0.22,erythromycin,No
Treatment Influent,0.0391,azithromycin,No
Treatment Influent,1,clarithromycin,No
Treatment Influent,0.97,ciprofloxacin,No
Treatment Effluent,0.31,erythromycin,No
Treatment Effluent,0.0887,azithromycin,No
Treatment Effluent,0.602,clarithromycin,No
Treatment Effluent,0.03,ciprofloxacin,No
Treatment Effluent,0.33,erythromycin,No
Treatment Effluent,0.125,azithromycin,No
Treatment Effluent,0.702,clarithromycin,No
Treatment Effluent,0.075,ciprofloxacin,No
Treatment Effluent,0.33,erythromycin,No
Treatment Effluent,0.121,azithromycin,No
Treatment Effluent,0.657,clarithromycin,No
Treatment Effluent,0.032,ciprofloxacin,No
Treatment Effluent,0.19,erythromycin,No
Treatment Effluent,0.0628,azithromycin,No
Treatment Effluent,0.324,clarithromycin,No
Treatment Effluent,0.025,ciprofloxacin,No
Treatment Effluent,0.35,erythromycin,No
Treatment Effluent,0.137,azithromycin,No
Treatment Effluent,0.542,clarithromycin,No
Treatment Effluent,0.02,ciprofloxacin,No
Treatment Effluent,0.125,azithromycin,No
Treatment Effluent,0.415,clarithromycin,No
Treatment Effluent,0.021,ciprofloxacin,No
Treatment Effluent,0.42,erythromycin,No
Treatment Effluent,0.123,azithromycin,No
Treatment Effluent,0.539,clarithromycin,No
Treatment Effluent,0.23,erythromycin,No
Treatment Effluent,0.0578,azithromycin,No
Treatment Effluent,0.275,clarithromycin,No
Treatment Effluent,0.26,erythromycin,No
Treatment Effluent,0.136,azithromycin,No
Treatment Effluent,0.493,clarithromycin,No
Treatment Effluent,0.022,ciprofloxacin,No
Treatment Effluent,0.17,erythromycin,No
Treatment Effluent,0.0903,azithromycin,No
Treatment Effluent,0.245,clarithromycin,No
Treatment Effluent,0.013,ciprofloxacin,No
Treatment Effluent,0.45,erythromycin,No
Treatment Effluent,0.0936,azithromycin,No
Treatment Effluent,0.445,clarithromycin,No
Treatment Effluent,0.022,ciprofloxacin,No
Treatment Effluent,0.47,erythromycin,No
Treatment Effluent,0.0918,azithromycin,No
Treatment Effluent,0.584,clarithromycin,No
Treatment Effluent,0.026,ciprofloxacin,No
Treatment Effluent,0.48,erythromycin,No
Treatment Effluent,0.0943,azithromycin,No
Treatment Effluent,0.458,clarithromycin,No
Treatment Effluent,0.031,ciprofloxacin,No
Treatment Effluent,0.46,erythromycin,No
Treatment Effluent,0.149,azithromycin,No
Treatment Effluent,0.618,clarithromycin,No
Treatment Effluent,0.027,ciprofloxacin,No
Treatment Effluent,0.48,erythromycin,No
Treatment Effluent,0.118,azithromycin,No
Treatment Effluent,0.597,clarithromycin,No
Treatment Effluent,0.04,ciprofloxacin,No
Treatment Effluent,0.4,erythromycin,No
Treatment Effluent,0.0968,azithromycin,No
Treatment Effluent,0.444,clarithromycin,No
Treatment Effluent,0.023,ciprofloxacin,No
Treatment Effluent,0.35,erythromycin,No
Treatment Effluent,0.0658,azithromycin,No
Treatment Effluent,0.34,clarithromycin,No
Treatment Effluent,0.014,ciprofloxacin,No
Treatment Effluent,0.18,erythromycin,No
Treatment Effluent,0.0474,azithromycin,No
Treatment Effluent,0.218,clarithromycin,No
Treatment Effluent,0.012,ciprofloxacin,No
Treatment Effluent,0.19,erythromycin,No
Treatment Effluent,0.0504,azithromycin,No
Treatment Effluent,0.256,clarithromycin,No
Treatment Effluent,0.012,ciprofloxacin,No
Treatment Effluent,0.16,erythromycin,No
Treatment Effluent,0.0355,azithromycin,No
Treatment Effluent,0.206,clarithromycin,No
Treatment Effluent,0.019,ciprofloxacin,No
Treatment Influent,0.12,erythromycin,No
Treatment Influent,0.304,azithromycin,No
Treatment Influent,0.966,clarithromycin,No
Treatment Influent,0.502,ciprofloxacin,No
Treatment Influent,0.55,erythromycin,No
Treatment Influent,0.06,azithromycin,No
Treatment Influent,1.04,clarithromycin,No
Treatment Influent,0.542,ciprofloxacin,No
Treatment Influent,0.24,erythromycin,No
Treatment Influent,0.111,azithromycin,No
Treatment Influent,0.912,clarithromycin,No
Treatment Influent,0.657,ciprofloxacin,No
Treatment Influent,0.07,erythromycin,No
Treatment Influent,0.0609,azithromycin,No
Treatment Influent,0.428,clarithromycin,No
Treatment Influent,0.151,ciprofloxacin,No
Treatment Influent,0.19,erythromycin,No
Treatment Influent,0.0778,azithromycin,No
Treatment Influent,0.397,clarithromycin,No
Treatment Influent,0.217,ciprofloxacin,No
Treatment Influent,0.109,azithromycin,No
Treatment Influent,0.729,clarithromycin,No
Treatment Influent,0.313,ciprofloxacin,No
Treatment Influent,0.53,erythromycin,No
Treatment Influent,0.087,azithromycin,No
Treatment Influent,0.787,clarithromycin,No
Treatment Influent,0.13,erythromycin,No
Treatment Influent,0.0345,azithromycin,No
Treatment Influent,0.175,clarithromycin,No
Treatment Influent,0.13,erythromycin,No
Treatment Influent,0.0839,azithromycin,No
Treatment Influent,0.603,clarithromycin,No
Treatment Influent,0.538,ciprofloxacin,No
Treatment Influent,0.41,erythromycin,No
Treatment Influent,0.0578,azithromycin,No
Treatment Influent,0.375,clarithromycin,No
Treatment Influent,0.367,ciprofloxacin,No
Treatment Influent,0.71,erythromycin,No
Treatment Influent,0.108,azithromycin,No
Treatment Influent,0.725,clarithromycin,No
Treatment Influent,0.418,ciprofloxacin,No
Treatment Influent,0.44,erythromycin,No
Treatment Influent,0.125,azithromycin,No
Treatment Influent,0.908,clarithromycin,No
Treatment Influent,0.219,ciprofloxacin,No
Treatment Influent,0.79,erythromycin,No
Treatment Influent,0.142,azithromycin,No
Treatment Influent,0.507,clarithromycin,No
Treatment Influent,0.423,ciprofloxacin,No
Treatment Influent,1.41,erythromycin,No
Treatment Influent,0.149,azithromycin,No
Treatment Influent,1.26,clarithromycin,No
Treatment Influent,0.342,ciprofloxacin,No
Treatment Influent,0.71,erythromycin,No
Treatment Influent,0.13,azithromycin,No
Treatment Influent,0.883,clarithromycin,No
Treatment Influent,0.191,ciprofloxacin,No
Treatment Influent,0.41,erythromycin,No
Treatment Influent,0.0725,azithromycin,No
Treatment Influent,0.97,clarithromycin,No
Treatment Influent,0.213,ciprofloxacin,No
Treatment Influent,0.47,erythromycin,No
Treatment Influent,0.152,azithromycin,No
Treatment Influent,0.654,clarithromycin,No
Treatment Influent,0.31,ciprofloxacin,No
Treatment Influent,0.36,erythromycin,No
Treatment Influent,0.0722,azithromycin,No
Treatment Influent,0.318,clarithromycin,No
Treatment Influent,0.162,ciprofloxacin,No
Treatment Influent,0.22,erythromycin,No
Treatment Influent,0.0596,azithromycin,No
Treatment Influent,0.258,clarithromycin,No
Treatment Influent,0.124,ciprofloxacin,No
Treatment Influent,0.23,erythromycin,No
Treatment Influent,0.055,azithromycin,No
Treatment Influent,0.372,clarithromycin,No
Treatment Influent,0.165,ciprofloxacin,No
Treatment Influent,0.24,erythromycin,No
Treatment Influent,0.389,azithromycin,No
Treatment Influent,1.18,clarithromycin,No
Treatment Influent,0.647,ciprofloxacin,No
Treatment Influent,0.36,erythromycin,No
Treatment Influent,0.148,azithromycin,No
Treatment Influent,0.962,clarithromycin,No
Treatment Influent,0.3,ciprofloxacin,No
Treatment Influent,0.14,erythromycin,No
Treatment Influent,0.151,azithromycin,No
Treatment Influent,1.18,clarithromycin,No
Treatment Influent,0.997,ciprofloxacin,No
Treatment Influent,0.2,erythromycin,No
Treatment Influent,0.14,azithromycin,No
Treatment Influent,0.714,clarithromycin,No
Treatment Influent,0.779,ciprofloxacin,No
Treatment Influent,0.1,erythromycin,No
Treatment Influent,0.0769,azithromycin,No
Treatment Influent,0.434,clarithromycin,No
Treatment Influent,0.365,ciprofloxacin,No
Treatment Influent,0.17,azithromycin,No
Treatment Influent,0.528,clarithromycin,No
Treatment Influent,0.419,ciprofloxacin,No
Treatment Influent,1.34,erythromycin,No
Treatment Influent,0.153,azithromycin,No
Treatment Influent,1.03,clarithromycin,No
Treatment Influent,0.29,erythromycin,No
Treatment Influent,0.0492,azithromycin,No
Treatment Influent,0.928,clarithromycin,No
Treatment Influent,0.28,erythromycin,No
Treatment Influent,0.114,azithromycin,No
Treatment Influent,1.27,clarithromycin,No
Treatment Influent,0.97,ciprofloxacin,No
Treatment Influent,0.44,erythromycin,No
Treatment Influent,0.0569,azithromycin,No
Treatment Influent,0.587,clarithromycin,No
Treatment Influent,0.309,ciprofloxacin,No
Treatment Influent,0.96,erythromycin,No
Treatment Influent,0.15,azithromycin,No
Treatment Influent,0.607,clarithromycin,No
Treatment Influent,0.242,ciprofloxacin,No
Treatment Influent,0.72,erythromycin,No
Treatment Influent,0.0872,azithromycin,No
Treatment Influent,0.68,clarithromycin,No
Treatment Influent,0.203,ciprofloxacin,No
Treatment Influent,0.77,erythromycin,No
Treatment Influent,0.129,azithromycin,No
Treatment Influent,0.46,clarithromycin,No
Treatment Influent,0.62,ciprofloxacin,No
Treatment Influent,0.85,erythromycin,No
Treatment Influent,0.118,azithromycin,No
Treatment Influent,0.852,clarithromycin,No
Treatment Influent,0.334,ciprofloxacin,No
Treatment Influent,0.7,erythromycin,No
Treatment Influent,0.102,azithromycin,No
Treatment Influent,1.15,clarithromycin,No
Treatment Influent,0.311,ciprofloxacin,No
Treatment Influent,0.37,erythromycin,No
Treatment Influent,0.244,azithromycin,No
Treatment Influent,0.66,clarithromycin,No
Treatment Influent,0.069,ciprofloxacin,No
Treatment Influent,0.28,erythromycin,No
Treatment Influent,0.0645,azithromycin,No
Treatment Influent,0.376,clarithromycin,No
Treatment Influent,0.167,ciprofloxacin,No
Treatment Influent,0.36,erythromycin,No
Treatment Influent,0.0543,azithromycin,No
Treatment Influent,0.594,clarithromycin,No
Treatment Influent,0.225,ciprofloxacin,No
Treatment Influent,0.38,erythromycin,No
Treatment Influent,0.0838,azithromycin,No
Treatment Influent,0.252,clarithromycin,No
Treatment Influent,0.104,ciprofloxacin,No
Treatment Influent,0.33,erythromycin,No
Treatment Influent,0.075,azithromycin,No
Treatment Influent,0.385,clarithromycin,No
Treatment Influent,0.128,ciprofloxacin,No
Treatment Effluent,0.33,erythromycin,No
Treatment Effluent,0.026,azithromycin,No
Treatment Effluent,0.217,clarithromycin,No
Treatment Effluent,0.59,erythromycin,No
Treatment Effluent,0.0481,azithromycin,No
Treatment Effluent,0.212,clarithromycin,No
Treatment Effluent,0.014,ciprofloxacin,No
Treatment Effluent,0.79,erythromycin,No
Treatment Effluent,0.12,azithromycin,No
Treatment Effluent,0.256,clarithromycin,No
Treatment Effluent,0.01,ciprofloxacin,No
Treatment Effluent,0.51,erythromycin,No
Treatment Effluent,0.0867,azithromycin,No
Treatment Effluent,0.311,clarithromycin,No
Treatment Effluent,0.011,ciprofloxacin,No
Treatment Effluent,0.42,erythromycin,No
Treatment Effluent,0.0678,azithromycin,No
Treatment Effluent,0.173,clarithromycin,No
Treatment Effluent,0.019,ciprofloxacin,No
Treatment Effluent,0.62,erythromycin,No
Treatment Effluent,0.157,azithromycin,No
Treatment Effluent,0.58,clarithromycin,No
Treatment Effluent,0.015,ciprofloxacin,No
Treatment Effluent,0.93,erythromycin,No
Treatment Effluent,0.168,azithromycin,No
Treatment Effluent,0.521,clarithromycin,No
Treatment Effluent,0.028,ciprofloxacin,No
Treatment Effluent,0.69,erythromycin,No
Treatment Effluent,0.109,azithromycin,No
Treatment Effluent,0.444,clarithromycin,No
Treatment Effluent,0.021,ciprofloxacin,No
Treatment Effluent,0.57,erythromycin,No
Treatment Effluent,0.109,azithromycin,No
Treatment Effluent,0.218,clarithromycin,No
Treatment Effluent,0.03,ciprofloxacin,No
Treatment Effluent,0.46,erythromycin,No
Treatment Effluent,0.165,azithromycin,No
Treatment Effluent,0.273,clarithromycin,No
Treatment Effluent,0.043,ciprofloxacin,No
Treatment Effluent,0.7,erythromycin,No
Treatment Effluent,0.106,azithromycin,No
Treatment Effluent,0.355,clarithromycin,No
Treatment Effluent,0.031,ciprofloxacin,No
Treatment Effluent,0.68,erythromycin,No
Treatment Effluent,0.124,azithromycin,No
Treatment Effluent,0.436,clarithromycin,No
Treatment Effluent,0.012,ciprofloxacin,No
Treatment Effluent,0.33,erythromycin,No
Treatment Effluent,0.122,azithromycin,No
Treatment Effluent,0.224,clarithromycin,No
Treatment Effluent,0.005,ciprofloxacin,No
Treatment Effluent,0.36,erythromycin,No
Treatment Effluent,0.146,azithromycin,No
Treatment Effluent,0.269,clarithromycin,No
Treatment Effluent,0.099,ciprofloxacin,No
Treatment Effluent,0.41,erythromycin,No
Treatment Effluent,0.0991,azithromycin,No
Treatment Effluent,0.142,clarithromycin,No
Treatment Effluent,0.034,ciprofloxacin,No
Treatment Effluent,0.32,erythromycin,No
Treatment Effluent,0.0776,azithromycin,No
Treatment Effluent,0.137,clarithromycin,No
Treatment Effluent,0.029,ciprofloxacin,No
Treatment Effluent,0.32,erythromycin,No
Treatment Effluent,0.0672,azithromycin,No
Treatment Effluent,0.246,clarithromycin,No
Treatment Effluent,0.01,ciprofloxacin,No
Treatment Effluent,0.4,erythromycin,No
Treatment Effluent,0.0404,azithromycin,No
Treatment Effluent,0.211,clarithromycin,No
Treatment Effluent,0.035,ciprofloxacin,No
Treatment Effluent,0.33,erythromycin,No
Treatment Effluent,0.0698,azithromycin,No
Treatment Effluent,0.179,clarithromycin,No
Treatment Effluent,0.055,ciprofloxacin,No
Treatment Effluent,0.16,erythromycin,No
Treatment Effluent,0.059,azithromycin,No
Treatment Effluent,0.244,clarithromycin,No
Treatment Effluent,0.064,ciprofloxacin,No
Treatment Effluent,0.25,erythromycin,No
Treatment Effluent,0.0751,azithromycin,No
Treatment Effluent,0.248,clarithromycin,No
Treatment Effluent,0.063,ciprofloxacin,No
Treatment Influent,0.49,erythromycin,No
Treatment Influent,0.0056,azithromycin,No
Treatment Influent,0.471,clarithromycin,No
Treatment Influent,1.37,erythromycin,No
Treatment Influent,0.431,azithromycin,No
Treatment Influent,0.139,clarithromycin,No
Treatment Influent,0.98,ciprofloxacin,No
Treatment Influent,1.99,erythromycin,No
Treatment Influent,0.181,azithromycin,No
Treatment Influent,0.759,clarithromycin,No
Treatment Influent,0.158,ciprofloxacin,No
Treatment Influent,0.74,erythromycin,No
Treatment Influent,0.0256,azithromycin,No
Treatment Influent,0.207,clarithromycin,No
Treatment Influent,0.31,ciprofloxacin,No
Treatment Influent,0.91,erythromycin,No
Treatment Influent,0.0345,azithromycin,No
Treatment Influent,0.023,clarithromycin,No
Treatment Influent,0.051,ciprofloxacin,No
Treatment Influent,11.9,erythromycin,No
Treatment Influent,0.386,azithromycin,No
Treatment Influent,0.627,clarithromycin,No
Treatment Influent,0.261,ciprofloxacin,No
Treatment Influent,1.5,erythromycin,No
Treatment Influent,0.129,azithromycin,No
Treatment Influent,2.29,clarithromycin,No
Treatment Influent,0.393,ciprofloxacin,No
Treatment Influent,0.7,erythromycin,No
Treatment Influent,0.121,azithromycin,No
Treatment Influent,0.97,clarithromycin,No
Treatment Influent,0.359,ciprofloxacin,No
Treatment Influent,1.36,erythromycin,No
Treatment Influent,0.101,azithromycin,No
Treatment Influent,0.083,clarithromycin,No
Treatment Influent,0.464,ciprofloxacin,No
Treatment Influent,0.83,erythromycin,No
Treatment Influent,0.04,azithromycin,No
Treatment Influent,0.047,clarithromycin,No
Treatment Influent,0.264,ciprofloxacin,No
Treatment Influent,2.33,erythromycin,No
Treatment Influent,0.0591,azithromycin,No
Treatment Influent,0.77,clarithromycin,No
Treatment Influent,2.42,ciprofloxacin,No
Treatment Influent,2.92,erythromycin,No
Treatment Influent,0.139,azithromycin,No
Treatment Influent,0.634,clarithromycin,No
Treatment Influent,6.81,ciprofloxacin,No
Treatment Influent,0.53,erythromycin,No
Treatment Influent,0.213,azithromycin,No
Treatment Influent,0.173,clarithromycin,No
Treatment Influent,0.095,ciprofloxacin,No
Treatment Influent,0.72,erythromycin,No
Treatment Influent,0.0745,azithromycin,No
Treatment Influent,0.097,clarithromycin,No
Treatment Influent,0.854,ciprofloxacin,No
Treatment Influent,3.44,erythromycin,No
Treatment Influent,0.161,azithromycin,No
Treatment Influent,0.146,clarithromycin,No
Treatment Influent,3.24,ciprofloxacin,No
Treatment Influent,0.63,erythromycin,No
Treatment Influent,0.202,azithromycin,No
Treatment Influent,0.433,clarithromycin,No
Treatment Influent,0.403,ciprofloxacin,No
Treatment Influent,2.46,erythromycin,No
Treatment Influent,0.0263,azithromycin,No
Treatment Influent,0.127,clarithromycin,No
